timestamp,severity,checker,module,message
2025-12-20 16:24:04.159000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:24:04.175000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:24:57.610000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CGRG67
2025-12-20 16:25:00.017000,HIGH,warning_checker,IDMan,Ignoring new ID: CGRG67 because is equal to id to process
2025-12-20 16:25:17.456000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CGRG67
2025-12-20 16:25:30.738000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:25:30.754000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:25:37.145000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CGRG67
2025-12-20 16:25:56.745000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CGRG67
2025-12-20 16:26:29.582000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:26:29.582000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:26:58.726000,HIGH,warning_checker,IDMan,Ignoring new ID: CYGW86 because is equal to id to process
2025-12-20 16:26:59.648000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CYGW86
2025-12-20 16:27:13.740000,HIGH,warning_checker,IDMan,Ignoring new ID: CYGW86 because is equal to id to process
2025-12-20 16:27:16.804000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CYGW86
2025-12-20 16:27:40.591000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CYGW86
2025-12-20 16:27:56.700000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CYGW86
2025-12-20 16:28:16.744000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> CYGW86
2025-12-20 16:28:50.687000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:28:50.703000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:30:32.686000,HIGH,warning_checker,IDMan,Ignoring new ID: JCLX87 because is equal to id to process
2025-12-20 16:30:37.423000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JCLX87
2025-12-20 16:30:56.708000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JCLX87
2025-12-20 16:31:49.495000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolume
2025-12-20 16:31:49.495000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceSolidVolumeData
2025-12-20 16:31:49.510000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:31:49.510000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceStereoVolumeData
2025-12-20 16:31:49.526000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:31:49.526000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeRatio
2025-12-20 16:31:49.526000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeValidRange
2025-12-20 16:31:49.542000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weight_volume_ratio_fulfilment
2025-12-20 16:34:15.115000,HIGH,warning_checker,IDMan,Ignoring new ID: RDXL69 because is equal to id to process
2025-12-20 16:35:39.782000,HIGH,warning_checker,IDMan,Ignoring new ID: RFSG23 because is equal to id to process
2025-12-20 16:36:13.728000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:36:13.728000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:38:01.718000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:38:01.718000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:38:16.244000,HIGH,warning_checker,IDMan,Ignoring new ID: RWDG14 because is equal to id to process
2025-12-20 16:39:52.988000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:39:52.988000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:41:14.466000,HIGH,warning_checker,IDMan,Ignoring new ID: RDXP50 because is equal to id to process
2025-12-20 16:41:29.482000,HIGH,warning_checker,IDMan,Ignoring new ID: RDXP50 because is equal to id to process
2025-12-20 16:42:18.068000,HIGH,warning_checker,IDMan,Ignoring new ID: PXVL64 because is equal to id to process
2025-12-20 16:43:56.306000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:43:56.306000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:44:17.435000,HIGH,warning_checker,IDMan,Ignoring new ID: PSRB93 because is equal to id to process
2025-12-20 16:46:12.800000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:46:12.800000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:53:42.748000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HYHB16
2025-12-20 16:53:50.393000,HIGH,warning_checker,IDMan,Ignoring new ID: HYHB16 because is equal to id to process
2025-12-20 16:53:56.660000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HYHB16
2025-12-20 16:54:16.905000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HYHB16
2025-12-20 16:54:36.803000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HYHB16
2025-12-20 16:55:10.311000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:55:10.311000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 16:55:37.039000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HFVH62
2025-12-20 16:55:41.946000,HIGH,warning_checker,IDMan,Ignoring new ID: HFVH62 because is equal to id to process
2025-12-20 16:55:56.723000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HFVH62
2025-12-20 16:56:16.635000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HFVH62
2025-12-20 16:56:37.863000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> HFVH62
2025-12-20 16:57:10.363000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 16:57:10.363000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
